,Season,Sentence,labels
46,Season 1,Our way is the old way?,neutral
47,Season 1,The man who passes the sentence should swing the sword.,anger
48,Season 1,Is it true he saw the White Walkers?,surprise
49,Season 1,The White Walkers have been gone for thousands of years.,neutral
50,Season 1,So he was lying?,surprise
51,Season 1,A madman sees what he sees.,anger
52,Season 1,What is it?,surprise
53,Season 1,Mountain lion?,neutral
54,Season 1,There are no mountain lions in these woods.,neutral
55,Season 1,It's a freak.,disgust
56,Season 1,It's a direwolf.,disgust
57,Season 1,Tough old beast.,disgust
58,Season 1,There are no direwolves south of the Wall.,neutral
59,Season 1,Now there are five.,neutral
60,Season 1,You want to hold it?,anger
61,Season 1,Where will they go? Their mother's dead.,sadness
62,Season 1,They don't belong down here.,neutral
63,Season 1,Better a quick death. They won't last without their mother.,neutral
64,Season 1,Right. Give it here.,neutral
65,Season 1,NO!,anger
66,Season 1,Put away your blade.,anger
67,Season 1,"I take orders from your father, not you.",anger
68,Season 1,"Please, father!",anger
69,Season 1,"I'm sorry, Bran.",sadness
70,Season 1,Lord Stark? There are five pups. One for each of the Stark children. The direwolf is the sigil of your House. They were meant to have them.,neutral
71,Season 1,"You will train them yourselves. You will feed them yourselves. And if they die, you will bury them yourselves.",anger
72,Season 1,What about you?,surprise
73,Season 1,I'm not a Stark. Get on.,anger
74,Season 1,What is it?,surprise
75,Season 1,"The runt of the litter. That one's yours, Snow.",neutral
76,Season 1,"As your brother, I feel it's my duty to warn you",fear
77,Season 1,"And you never worry about anything. When we were seven, you jumped off the cliffs as Casterly Rock. One hundred foot drop into the water. And you were never afraid.",fear
78,Season 1,"There was nothing to be afraid of until you told father. [In a whisper, mimicking] We're Lannisters. Lannisters don't act like fools.",fear
79,Season 1,What if Jon Arryn told someone?,anger
80,Season 1,But who would he tell?,neutral
81,Season 1,My husband.,sadness
82,Season 1,"If he told the king, both our heads would be skewered on the city gates by now. Whatever Jon Arryn knew or didn't know, it died with him. And Robert will choose a new Hand of the king, someone to do his job while he's off fucking boars and hunting whores. Or is it the other way around? And life will go on.",anger
83,Season 1,You should be the Hand of the king.,disgust
84,Season 1,"That's an honor I can do without. Their days are too long, their lives are too short.",neutral
85,Season 1,All these years and I still feel like an outsider when I come here.,neutral
86,Season 1,You have five northern children. You're not an outsider.,neutral
87,Season 1,I wonder if the old gods agree.,surprise
88,Season 1,It's your gods with all the rules.,neutral
89,Season 1,"I am so sorry, my love.",sadness
90,Season 1,Tell me.,neutral
91,Season 1,There was a raven from Kings Landing. Jon Arryn is dead. A fever took him. I know he was like a father to you.,sadness
92,Season 1,Your sister. The boy …,neutral
93,Season 1,They both have their health. Gods be good. [pause] The raven brought more news. The king rides for Winterfell. With the queen and all the rest of them.,neutral
94,Season 1,"He's coming this far North, there's only one thing he's after.",neutral
95,Season 1,"You can always say no, Ned.",neutral
96,Season 1,We need plenty of candles for Lord Tyrion's chamber. I'm told he reads all night.,neutral
97,Season 1,I'm told he drinks all night.,neutral
98,Season 1,How much could he possibly drink? A man of his … stature.,surprise
99,Season 1,We've brought up eight barrels of ale from the cellar. Perhaps we'll find out.,neutral
100,Season 1,"In any case, candles.",neutral
101,Season 1,Why's your mother so dead-set on us getting pretty for the king?,anger
102,Season 1,"It's for the queen, I bet. I hear she's [sleek as a mink?]",disgust
103,Season 1,I hear the prince is a right royal prick.,disgust
104,Season 1,Think of all those southern girls he gets to stab with his right royal prick.,anger
105,Season 1,"Go on, Tommy, shave him good. He's never met a girl he likes better than his own hair.",neutral
106,Season 1,"Gods, but they grow fast. [Seeing BRAN on the wall] Brandon!",disgust
107,Season 1,I saw the king! He's got hundreds of people!,surprise
108,Season 1,How many times have I told you,surprise
109,Season 1,But he's coming right now! Down our road!,anger
110,Season 1,I want you to promise me,neutral
111,Season 1,I promise.,neutral
112,Season 1,D'you know what?,surprise
113,Season 1,What?,surprise
114,Season 1,You always look at your feet before you lie. Run and find your father. Tell him the king is close.,neutral
115,Season 1,"Where's Arya? Sansa, where's your sister?",neutral
116,Season 1,"Hey,, hey, hey, hey. What are you doing with that on? [Pulls off ARYA's helm]",joy
117,Season 1,Move!,anger
118,Season 1,Your Grace.,neutral
119,Season 1,You've got fat.,disgust
120,Season 1,Cat!,surprise
121,Season 1,Your Grace.,neutral
122,Season 1,Nine years. Why haven't I seen you? Where the hell have you been?,anger
123,Season 1,"Guarding the North for you, Your Grace. Winterfell is yours.",neutral
124,Season 1,Where's the Imp?,neutral
125,Season 1,Will you shut up?,anger
126,Season 1,"Who have we here? You must be Robb. My, you're a pretty one. Your name is?",surprise
127,Season 1,Arya.,neutral
128,Season 1,Ooh. Show us your muscles. You'll be a soldier.,neutral
129,Season 1,That's Jaime Lannister. The queen's twin brother.,neutral
130,Season 1,Would you please shut up.,anger
131,Season 1,My queen.,disgust
132,Season 1,My queen.,disgust
133,Season 1,Take me to your crypt. I want to pay my respects.,sadness
134,Season 1,"We've been riding for a month, my love. Surely the dead can wait.",neutral
135,Season 1,Ned.,neutral
136,Season 1,Where is our brother? Go find the little beast.,neutral
137,Season 1,Tell me about Jon Arryn.,neutral
138,Season 1,"One minute he was fine, and then … Burned right through him, whatever it was. I loved that man.",disgust
139,Season 1,We both did.,neutral
140,Season 1,"He never had to teach you much, but me … You remember me at 16? All I wanted to do was crack skulls and fuck girls. He showed me what was what.",disgust
141,Season 1,Aye.,neutral
142,Season 1,"Don't look at me like that. Not his fault I didn't listen. I need you, Ned. Down at Kings Landing. Not up here, where you're no damn use to anybody. Lord Eddard Stark, I would name you the Hand of the king.",anger
143,Season 1,I'm not worthy of the honor.,sadness
144,Season 1,"I'm not trying to honor you. I'm trying to get you to run my kingdom while I eat, drink, and whore my way to an early grave. Damn it, Ned, stand up. You helped me win the Iron Throne, now help me keep the damn thing. We were meant to rule together. If your sister had lived, we would have been bound by blood. Well, it's not too late. I have a son, you have a daughter. We'll join our Houses.",anger
145,Season 1,Mmh. It is true what they say about the Northern girls.,disgust
146,Season 1,Did you hear the king's in Winterfell?,surprise
147,Season 1,I did hear something about that.,neutral
148,Season 1,And the queen. And her twin brother. They say that he is the most handsome man in the Seven Kingdoms.,neutral
149,Season 1,And the other brother?,surprise
150,Season 1,The queen has two brothers?,neutral
151,Season 1,There's the pretty one. And there's the clever one.,neutral
152,Season 1,I hear they call him the Imp.,neutral
153,Season 1,I hear he hates that nickname.,disgust
154,Season 1,Oh? I hear he's more than earned it. I hear he's a drunken little lecher into all manner of perversions.,disgust
155,Season 1,Clever girl.,neutral
156,Season 1,"We've been expecting you, Lord Tyrion.",neutral
157,Season 1,Have you?,neutral
158,Season 1,The gods gave me one blessing.,joy
159,Season 1,Don't get up.,anger
160,Season 1,M'lord.,neutral
161,Season 1,"Should I explain to you the meaning of a closed door in a whorehouse, brother?",disgust
162,Season 1,"You've much to teach me, no doubt. But our sister craves your attention.",neutral
163,Season 1,"She has odd cravings, our sister.",neutral
164,Season 1,"A family trait. Now, the Starks are feasting us at sundown. Don't leave me alone with these people.",disgust
165,Season 1,"I'm sorry, I've begun the feast a bit early. And this is the first of many courses.",sadness
166,Season 1,"I thought you might say that. But since we're short on time, Come on, girls. See you at sundown.",neutral
167,Season 1,Close the door!,anger
168,Season 1,Did you have to bury her in a place like this? She should be on a hill somewhere with the sun and the clouds above her.,disgust
169,Season 1,She was my sister. This is where she belongs.,neutral
170,Season 1,She belonged with me.,neutral
171,Season 1,"In my dreams, I kill him every night.",fear
172,Season 1,"It's done, Your Grace. The Targaryens are gone.",neutral
173,Season 1,Not all of them.,neutral
174,Season 1,Daenerys!,surprise
175,Season 1,Daenerys! There's our bride to be! Look – a gift from Illyrio. Touch it. Come on. Feel the fabric. Mmmm. Isn't he a gracious host?,surprise
176,Season 1,We've been his guests for over a year and he's never asked us for anything.,neutral
177,Season 1,"Illyrio is no fool. He knows I won't forget my friends when I come into my throne. You still slouch. Let me see. You have a woman's body now. I need you to be perfect today. Can you do that for me? You don't want to wake the dragon, do you?",anger
178,Season 1,No.,neutral
179,Season 1,"When they write the history of my reign, sweet sister, they will say it began today.",neutral
180,Season 1,"It's too hot, my lady.",sadness
181,Season 1,Where is he?,neutral
182,Season 1,The Dothraki are not known for their punctuality.,neutral
183,Season 1,"May I present my honored guests? Viserys of House Targaryen, the third of his name. The rightful King of the Andals and the First Men. And his sister, Daenerys, of the House Targaryen.",joy
184,Season 1,"Do you see how long his hair is? When Dothraki are defeated in combat, they cut off their braid so the whole world can see their shame. Khal Drogo has never been defeated. He's a savage, of course, but he's one of the finest killers alive. And you will be his queen.",disgust
185,Season 1,"Come forward, my dear.",neutral
186,Season 1,Where's he going?,neutral
187,Season 1,The ceremony is over.,joy
188,Season 1,But he didn't say anything. Did he like her?,disgust
189,Season 1,"Trust me, Your Grace. If he didn't like her, we'd know.",fear
190,Season 1,It won't be long now. Soon you will cross the Narrow Sea and take back your father's throne. The people drink secret toasts to your health. They cry out for their true king.,anger
191,Season 1,When will they be married?,neutral
192,Season 1,Soon. The Dothraki never stay still for long.,neutral
193,Season 1,Is it true they lie with their horses?,disgust
194,Season 1,I wouldn't ask Khal Drogo.,neutral
195,Season 1,Do you take me for a fool?,anger
196,Season 1,I take you for a king. Kings lack the caution of common men. My apologies if I've given offense.,anger
197,Season 1,I know how to play a man like Drogo. I give him a queen and he gives me an army.,neutral
198,Season 1,I don't want to be his queen. I want to go home.,sadness
199,Season 1,"So do I. I want us both to go home. But they took it from us. So tell me, sweet sister, how do we go home?",sadness
200,Season 1,I don't know.,surprise
201,Season 1,"We go home with an army. With Khal Drogo's army. I would let his whole tribe fuck you, all 40,000 men and their horses too, if that's what it took.",anger
202,Season 1,Do you think Joffrey will like me? What if he thinks I'm ugly?,disgust
203,Season 1,Then he is the stupidest prince that ever lived.,disgust
204,Season 1,He's so handsome.,neutral
205,Season 1,When would we be married? Soon or do we have to wait?,neutral
206,Season 1,Hush now. Your father hasn't even said yes.,disgust
207,Season 1,Why would he say no? He'd be the second most powerful man in the kingdoms.,anger
208,Season 1,He'd have to leave home. He'd have to leave me. And so would you.,neutral
209,Season 1,You left your home to come here. And I'd be queen someday. Please make father say yes.,neutral
210,Season 1,Sansa…,neutral
211,Season 1,"Please, please. It's the only thing I ever wanted.",sadness
212,Season 1,Is he dead yet?,neutral
213,Season 1,Uncle Benjen!,anger
214,Season 1,You got bigger. I rode all day. Didn't want to leave you alone with the Lannisters. Why aren't you at the feast?,surprise
215,Season 1,Lady Stark thought it might insult the royal family to seat a bastard in their midst.,anger
216,Season 1,"Well, you're always welcome on the wall. No bastard was ever refused a seat there.",anger
217,Season 1,So take me with you when you go back.,neutral
218,Season 1,Jon…,neutral
219,Season 1,"Father will let me if you ask him, I know he will.",neutral
220,Season 1,The Wall isn't going anywhere.,neutral
221,Season 1,I'm ready to swear your oath.,neutral
222,Season 1,You don't understand what you'd be giving up. We have no families. None of us will ever father sons.,surprise
223,Season 1,I don't care about that.,disgust
224,Season 1,"You might, if you knew what it meant. … I'd better get inside. Rescue your father from his guests. We'll talk later.",neutral
225,Season 1,Your uncle's in the Night's Watch.,neutral
226,Season 1,What're you doing back there?,surprise
227,Season 1,Preparing for a night with your family. I've always wanted to see the Wall.,fear
228,Season 1,You're Tyrion Lannister. The queen's brother?,surprise
229,Season 1,"My greatest accomplishment. You – you're Ned Stark's bastard, aren't you?",disgust
230,Season 1,"Did I offend you? Sorry. You are the bastard, though.",anger
231,Season 1,Lord Eddard Stark is my father.,neutral
232,Season 1,"And Lady Stark is not your mother. Making you a bastard. Let me give you some advice, bastard. Never forget what you are. The rest of the world will not. Wear it like armor. Then it can never be used to hurt you.",anger
233,Season 1,What the hell do you know about being a bastard?,anger
234,Season 1,All dwarves are bastards in their fathers' eyes.,disgust
235,Season 1,You at a feast -- It's like a bear in a trap.,disgust
236,Season 1,The boy I beheaded. Did you know him?,disgust
237,Season 1,"Of course I did. Just a lad. But he was tough, Ned. A true Ranger.",neutral
238,Season 1,He was talking madness. Said the Walkers slaughtered his friends.,disgust
239,Season 1,The two he was with are still missing.,sadness
240,Season 1,A wildling ambush.,fear
241,Season 1,Maybe. Direwolves south of the wall. Talk of the Walkers. My brother might be the next Hand to the king. Winter is coming.,neutral
242,Season 1,Winter is coming.,neutral
243,Season 1,Uncle Benjen.,disgust
244,Season 1,Robb boy. How are ye?,surprise
245,Season 1,I'm good.,joy
246,Season 1,"Is this your first time in the North, Your Grace?",neutral
247,Season 1,Yes. Lovely country.,joy
248,Season 1,"I'm sure it's very grim, after Kings Landing. I remember how scared I was when Ned brought me up here for the first time.",fear
249,Season 1,"Hello, little dove. But you are a beauty. How old are you?",neutral
250,Season 1,"Thirteen, Your Grace.",neutral
251,Season 1,You're tall. Still growing?,surprise
252,Season 1,"I think so, Your Grace.",neutral
253,Season 1,And have you bled yet?,neutral
254,Season 1,"No, Your Grace.",neutral
255,Season 1,And your dress. Did you make it?,surprise
256,Season 1,Such talent. You must make something for me.,neutral
257,Season 1,I hear we might share a grandchild someday.,joy
258,Season 1,I hear the same.,neutral
259,Season 1,Your daughter will do well in the capital. Such a beauty shouldn't stay hidden up here forever.,neutral
260,Season 1,Your pardon.,neutral
261,Season 1,I hear we might be neighbors soon. I hope it's true.,neutral
262,Season 1,"Yes, the king has honored me with his offer.",joy
263,Season 1,"I'm sure we'll have a tournament to celebrate the new title, if you accept. It would be good to have you in the field. The competition has become a bit stale.",joy
264,Season 1,I don't fight in tournaments.,neutral
265,Season 1,No? Getting a little old for it?,surprise
266,Season 1,"I don't fight in tournaments because when I fight a man for real, I don't want him to know what I can do.",neutral
267,Season 1,Well said.,neutral
268,Season 1,Arya!,surprise
269,Season 1,Time for bed.,neutral
270,Season 1,"I'm a Northman. I belong here with you, not down south in that rat's nest they call a capital.",neutral
271,Season 1,I won't let him take you.,anger
272,Season 1,The king takes what he wants. That's why he's king.,neutral
273,Season 1,"I'll say, ‘Listen, fat man, you are not taking my husband anywhere. He belongs to me now.'",anger
274,Season 1,How did he get so fat?,surprise
275,Season 1,He only stops eating when it's time for a drink.,neutral
276,Season 1,"It's Maester Luwin, my lord.",neutral
277,Season 1,Send him in.,neutral
278,Season 1,"Pardon, my lord, my lady. A rider in the night from your sister.",disgust
279,Season 1,Stay.,neutral
280,Season 1,This was sent from the Eyrie. What's she doing at the Eyrie? She hasn't been back there since her wedding.,surprise
281,Season 1,What news?,surprise
282,Season 1,She's fled the capital. She says Jon Arryn was murdered. By the Lannisters. She says the king is in danger.,fear
283,Season 1,"She's fresh widowed, Cat. She doesn't know what she's saying.",neutral
284,Season 1,"Lysa's head would be on a spike right now if the wrong people had found that letter. Do you think she would risk her life, her son's life, if she wasn't certain her husband was murdered?",anger
285,Season 1,"If this news is true, and the Lannisters conspire against the throne, who but you can protect the king?",neutral
286,Season 1,They murdered the last Hand. Now you want Ned to take the job.,anger
287,Season 1,"The king rode for a month to ask Lord Stark's help. He's the only one he trusts. You swore the king an oath, my lord.",neutral
288,Season 1,He spent half his life fighting Robert's wars. He owes him nothing. Your father and brother rode south once on a king's demand.,neutral
289,Season 1,A different time. Different king.,neutral
290,Season 1,When do I meet with the Khal? We need to begin planning the invasion.,fear
291,Season 1,"If Khal Drogo has promised you a crown, you shall have it.",neutral
292,Season 1,When?,surprise
293,Season 1,When their omens favor war.,disgust
294,Season 1,I piss on Dothraki omens. I waited 17 years to get my throne back.,neutral
295,Season 1,A Dothraki wedding without at least three deaths is considered a dull affair.,sadness
296,Season 1,A small gift for the new Khaleesi. Songs and histories from the Seven Kingdoms.,joy
297,Season 1,"Thank you, ser. Are you from my country?",neutral
298,Season 1,"Ser Jorah Mormont of Bear Island. I served your father for many years. Gods be good, I hope to always serve the rightful king.",neutral
299,Season 1,"Dragons' eggs, Daenerys. From the Shadow Lands beyond Asshai. The ages have turned them to stone, but they will always be beautiful.",neutral
300,Season 1,"Thank you, Magister.",neutral
301,Season 1,"She's beautiful. … Ser Jorah, I don't know how to say ‘thank you' in Dothraki.",neutral
302,Season 1,There is no word for ‘thank you' in Dothraki.,neutral
303,Season 1,Make him happy.,joy
304,Season 1,No.,neutral
305,Season 1,Do you know the Common Tongue?,neutral
306,Season 1,Is ‘no' the only word that you know?,neutral
307,Season 1,"Rough night, Imp?",neutral
308,Season 1,"If I get through this without squirting from one end or the other, it will be a miracle.",neutral
309,Season 1,I didn't pick you for a hunter.,neutral
310,Season 1,The greatest in the land. My spear never misses.,neutral
311,Season 1,It's not hunting if you pay for it.,neutral
312,Season 1,Are you as good with a spear as you used to be?,neutral
313,Season 1,"No, but I'm still better than you.",neutral
314,Season 1,I know what I'm putting you through. Thank you for saying yes. I only ask you because I need you. You're a loyal friend. You hear me? A loyal friend. The last one I've got.,joy
315,Season 1,I hope I'll serve you well.,neutral
316,Season 1,"You will. And I'll make sure you don't look so fucking grim all the time. Come on, boys, let's go kill some boar!",sadness
317,Season 1,"Come on, you.",anger
318,Season 1,Stop. STOP.,anger
319,Season 1,Are you completely mad?,anger
320,Season 1,He saw us.,neutral
321,Season 1,It's all right. It's all right.,neutral
322,Season 1,He saw us!,surprise
323,Season 1,"I heard you the first time. Quite the little climber, aren't you? How old are you, boy?",surprise
324,Season 1,Ten,neutral
325,Season 1,Ten.,neutral
326,Season 1,The things I do for love.,joy
327,Season 1,"You need to drink, child... And eat.",neutral
328,Season 1,Isn't there anything else?,neutral
329,Season 1,The Dothraki have two things in abundance,neutral
330,Season 1,Khaleesi!,surprise
331,Season 1,Your hands.,anger
332,Season 1,"We're still not far from Pentos, your Grace. Magister Illyrio has extended his hospitality. You'd be more comfortable there.",neutral
333,Season 1,I have no interest in hospitality or comfort. I'll stay with Drogo until he fulfils his end of the bargain and I have my crown.,neutral
334,Season 1,"As you wish, your Grace.",sadness
335,Season 1,"Well, Mormont, as brutish as this life is, I suppose it is preferable to beheading. What did Ned Stark want you for? Buying from a slaver?",disgust
336,Season 1,Selling to one... Some poachers I caught on my land.,disgust
337,Season 1,"Under my reign, you won't be punished for such nonsense. You can rest assured of that.",neutral
338,Season 1,"Better-looking bitches than you're used to, Uncle. My mother's been looking for you. We ride for King's Landing today.",neutral
339,Season 1,"Before you go, you will call on Lord and Lady Stark and offer your sympathies.",neutral
340,Season 1,What good will my sympathies do them?,anger
341,Season 1,None. But it is expected of you. Your absence has already been noted.,neutral
342,Season 1,The boy means nothing to me. And I can't stand the wailing of women.,sadness
343,Season 1,One word and I'll hit you again.,neutral
344,Season 1,I'm telling mother!,anger
345,Season 1,"Go! Tell her. But first you will get to Lord and Lady Stark and you will fall on your knees in front of them and tell them how very sorry you are, that you are at their service, and that all your prayers are with them. Do you understand?",sadness
346,Season 1,You can't...,neutral
347,Season 1,Do you understand?,surprise
348,Season 1,"The Prince will remember that, little lord.",neutral
349,Season 1,"I hope so. If he forgets, be a good dog and remind him. Time for breakfast...",neutral
350,Season 1,"Bread. And two of those little fish. And a mug of dark beer to wash it down. And bacon, burnt black.",disgust
351,Season 1,Little brother.,neutral
352,Season 1,Beloved siblings.,joy
353,Season 1,Is Bran going to die?,surprise
354,Season 1,Apparently not.,neutral
355,Season 1,What do you mean?,surprise
356,Season 1,The Maester says the boy may live.,neutral
357,Season 1,"It's no mercy, letting a child linger in such pain.",disgust
358,Season 1,Only the gods know for certain. All the rest of us can do is pray. The charms of the north seem entirely lost on you.,neutral
359,Season 1,I still can't believe you're going. It's ridiculous even for you.,surprise
360,Season 1,"Where's your sense of wonder? The greatest structure ever built, the intrepid men of the Night's Watch, the wintry abode of the White Walkers.",surprise
361,Season 1,Tell me you're not thinking of taking the black.,neutral
362,Season 1,And go celibate? The whores would go begging from Dorne to Casterly Rock. I just want to stand on top of the Wall and piss off the edge of the world.,disgust
363,Season 1,The children don't need to hear your filth. Come.,disgust
364,Season 1,"Even if the boy lives, he'll be a cripple, a grotesque. Give me a good clean death any day.",disgust
365,Season 1,"Speaking for the grotesques, I'd have to disagree. Death is so final, whereas life... Life is full of possibilities. I hope the boy does wake. I'd be very interested to hear what he has to say.",neutral
366,Season 1,"My dear brother, there are times you make me wonder whose side you're on.",surprise
367,Season 1,"My dear brother, you wound me. You know how much I love my family.",anger
368,Season 1,Please.,neutral
369,Season 1,"I would have dressed, your Grace.",neutral
370,Season 1,"This is your home. I'm your guest. Handsome one, isn't he? I lost my first boy, a little black-haired beauty. He was a fighter too... Tried to beat the fever that took him. Forgive me. It's the last thing you need to hear right now.",sadness
371,Season 1,I never knew.,surprise
372,Season 1,"It was years ago. Robert was crazed, beat his hands bloody on the wall, all the things men do to show you how much they care... The boy looked just like him. Such a little thing... A bird without feathers. They came to take his body away and Robert held me. I screamed and I battled, but he held me. That little bundle. They took him away and I never saw him again. Never have visited the crypt, never. I pray to the Mother every morning and night that she return your child to you.",anger
373,Season 1,I am grateful..,joy
374,Season 1,Perhaps this time she'll listen.,neutral
375,Season 1,A sword for the wall?,surprise
376,Season 1,I already have one.,neutral
377,Season 1,Good man. Have you swung it yet?,neutral
378,Season 1,Of course I have.,neutral
379,Season 1,"At someone, I mean. It's a strange thing, the first time you cut a man. You realize we're nothing but sacks of meat and blood and some bone to keep it all standing. Let me thank you ahead of time for guarding us all from the perils beyond the Wall... Wildlings and White Walkers and whatnot. We're grateful to have good, strong men like you protecting us.",disgust
380,Season 1,We've guarded the Kingdoms for 8 000 years.,neutral
381,Season 1,"Is it ""we"" already? Have you taken your vows then?",surprise
382,Season 1,Soon enough.,neutral
383,Season 1,"Give my regards to the Night's Watch. I'm sure it will be thrilling to serve in such an elite force. And if not, It's only for life.",joy
384,Season 1,"Thank you, Nymeria. Septa Mordane says I have to do it again. ""My things weren't properly folded"", she says. Who cares how they're folded?! They're going to get all messed up anyway.",anger
385,Season 1,It's good you've got help.,joy
386,Season 1,"Watch. Nymeria, gloves.",neutral
387,Season 1,Impressive.,disgust
388,Season 1,"Shut up. Nymeria, gloves!",anger
389,Season 1,I have something for you. And it has to be packed very carefully.,neutral
390,Season 1,A present?,surprise
391,Season 1,Close the door. This is no toy. Be careful you don't cut yourself.,neutral
392,Season 1,It's so skinny.,disgust
393,Season 1,"So are you. I had the blacksmith make it for you special. It won't hack a man's head off, but it can poke him full of holes if you're quick enough.",neutral
394,Season 1,I can be quick.,neutral
395,Season 1,You'll have to work at it every day. How does it feel? Do you like the balance?,neutral
396,Season 1,I think so.,neutral
397,Season 1,First lesson,fear
398,Season 1,I know which end to use.,neutral
399,Season 1,"I'm going to miss you... Careful... All the best swords have names, you know.",neutral
400,Season 1,Sansa can keep her sewing needles. I've got a needle of my own.,neutral
401,Season 1,I came to say goodbye to Bran.,sadness
402,Season 1,You've said it.,neutral
403,Season 1,"I wish I could be here when you wake up. I'm going north with Uncle Benjen. I'm taking the black. I know we always talked about seeing the Wall together, but you'll be able to come visit me at Castle Black when you're better. I'll know my way around by then. I'll be a sworn brother of the Night's Watch. We can go out walking beyond the Wall, if you're not afraid.",fear
404,Season 1,I want you to leave.,sadness
405,Season 1,17 years ago you rode off with Robert Baratheon. You came back a year later with another woman's son. And now you're leaving again.,neutral
406,Season 1,I have no choice.,sadness
407,Season 1,"That's what men always say when honor calls. That's what you tell your families, tell yourselves. You do have a choice. And you've made it. I can't do it, Ned. I really can't.",neutral
408,Season 1,You can. You must.,neutral
409,Season 1,You've said goodbye to Bran? He's not going to die. I know it.,neutral
410,Season 1,You Starks are hard to kill.,neutral
411,Season 1,My mother?,surprise
412,Season 1,She was very kind.,disgust
413,Season 1,"Good. Next time I see you, you'll be all in black.",neutral
414,Season 1,It was always my color.,neutral
415,Season 1,"Farewell, Snow.",neutral
416,Season 1,"And you, Stark.",neutral
417,Season 1,"There's great honor serving in the Night's Watch. The Starks have manned the Wall for thousands of years. And you are a Stark. You might not have my name, but you have my blood.",neutral
418,Season 1,"Is my mother alive? Does she know about me? Where I am, where I'm going? Does she care?",anger
419,Season 1,"The next time we see each other, we'll talk about your mother. I promise.",neutral
420,Season 1,"Gods, this is country! I've half a mind to leave them all behind and keep going.",disgust
421,Season 1,I've half a mind to go with you.,neutral
422,Season 1,"What do you say, just you and me on the Kingsroad, swords at our sides, a couple of tavern wenches to warm our beds tonight.",neutral
423,Season 1,You should have asked me 20 years ago.,neutral
424,Season 1,"There were wars to fight, women to marry... We never had the chance to be young.",neutral
425,Season 1,I recall a few chances.,neutral
426,Season 1,"There was that one... Oh, what was her name? That common girl of yours? Becca? With the great big tits you could bury your face in.",surprise
427,Season 1,Bessie. She was one of yours.,neutral
428,Season 1,Bessie! Thank the gods for Bessie and her tits. Yours was... Aleena? No. You told me once. Meryl? Your bastardo s mother?,surprise
429,Season 1,Wylla.,neutral
430,Season 1,That's it. She must have been a rare wench to make Lord Eddard Stark forget his honor. You never told me what she looked like.,disgust
431,Season 1,Nor will I.,neutral
432,Season 1,"We were at war. None of us knew if we were gonna go back home again. You're too hard on yourself. You always have been. I swear if I weren't your King, you'd have hit me already.",anger
433,Season 1,The worst thing about your coronation... I'll never get to hit you again.,disgust
