Season,Sentence,labels
Season 1,Where will they go? Their mother's dead.,sadness
Season 1,They don't belong down here.,neutral
Season 1,Better a quick death. They won't last without their mother.,neutral
Season 1,Right. Give it here.,neutral
Season 1,NO!,anger
Season 1,Put away your blade.,anger
Season 1,"I take orders from your father, not you.",anger
Season 1,"Please, father!",anger
Season 1,"I'm sorry, Bran.",sadness
Season 1,Lord Stark? There are five pups. One for each of the Stark children. The direwolf is the sigil of your House. They were meant to have them.,neutral
Season 1,"You will train them yourselves. You will feed them yourselves. And if they die, you will bury them yourselves.",anger
Season 1,What about you?,surprise
Season 1,I'm not a Stark. Get on.,anger
Season 1,What is it?,surprise
Season 1,"The runt of the litter. That one's yours, Snow.",neutral
Season 1,"As your brother, I feel it's my duty to warn you",fear
Season 1,"And you never worry about anything. When we were seven, you jumped off the cliffs as Casterly Rock. One hundred foot drop into the water. And you were never afraid.",fear
Season 1,"There was nothing to be afraid of until you told father. [In a whisper, mimicking] We're Lannisters. Lannisters don't act like fools.",fear
Season 1,What if Jon Arryn told someone?,anger
Season 1,But who would he tell?,neutral
Season 1,My husband.,sadness
Season 1,"If he told the king, both our heads would be skewered on the city gates by now. Whatever Jon Arryn knew or didn't know, it died with him. And Robert will choose a new Hand of the king, someone to do his job while he's off fucking boars and hunting whores. Or is it the other way around? And life will go on.",anger
Season 1,You should be the Hand of the king.,disgust
Season 1,"That's an honor I can do without. Their days are too long, their lives are too short.",neutral
Season 1,All these years and I still feel like an outsider when I come here.,neutral
Season 1,You have five northern children. You're not an outsider.,neutral
Season 1,I wonder if the old gods agree.,surprise
Season 1,It's your gods with all the rules.,neutral
Season 1,"I am so sorry, my love.",sadness
Season 1,Tell me.,neutral
Season 1,There was a raven from Kings Landing. Jon Arryn is dead. A fever took him. I know he was like a father to you.,sadness
Season 1,Your sister. The boy …,neutral
Season 1,They both have their health. Gods be good. [pause] The raven brought more news. The king rides for Winterfell. With the queen and all the rest of them.,neutral
Season 1,"He's coming this far North, there's only one thing he's after.",neutral
Season 1,"You can always say no, Ned.",neutral
Season 1,We need plenty of candles for Lord Tyrion's chamber. I'm told he reads all night.,neutral
Season 1,I'm told he drinks all night.,neutral
Season 1,How much could he possibly drink? A man of his … stature.,surprise
Season 1,We've brought up eight barrels of ale from the cellar. Perhaps we'll find out.,neutral
Season 1,"In any case, candles.",neutral
Season 1,Why's your mother so dead-set on us getting pretty for the king?,anger
Season 1,"It's for the queen, I bet. I hear she's [sleek as a mink?]",disgust
Season 1,I hear the prince is a right royal prick.,disgust
Season 1,Think of all those southern girls he gets to stab with his right royal prick.,anger
Season 1,"Go on, Tommy, shave him good. He's never met a girl he likes better than his own hair.",neutral
Season 1,"Gods, but they grow fast. [Seeing BRAN on the wall] Brandon!",disgust
Season 1,I saw the king! He's got hundreds of people!,surprise
Season 1,How many times have I told you,surprise
Season 1,But he's coming right now! Down our road!,anger
Season 1,I want you to promise me,neutral
Season 1,I promise.,neutral
Season 1,D'you know what?,surprise
Season 1,What?,surprise
Season 1,You always look at your feet before you lie. Run and find your father. Tell him the king is close.,neutral
Season 1,"Where's Arya? Sansa, where's your sister?",neutral
Season 1,"Hey,, hey, hey, hey. What are you doing with that on? [Pulls off ARYA's helm]",joy
Season 1,Move!,anger
Season 1,Your Grace.,neutral
Season 1,You've got fat.,disgust
Season 1,Cat!,surprise
Season 1,Your Grace.,neutral
Season 1,Nine years. Why haven't I seen you? Where the hell have you been?,anger
Season 1,"Guarding the North for you, Your Grace. Winterfell is yours.",neutral
Season 1,Where's the Imp?,neutral
Season 1,Will you shut up?,anger
Season 1,"Who have we here? You must be Robb. My, you're a pretty one. Your name is?",surprise
Season 1,Arya.,neutral
Season 1,Ooh. Show us your muscles. You'll be a soldier.,neutral
Season 1,That's Jaime Lannister. The queen's twin brother.,neutral
Season 1,Would you please shut up.,anger
Season 1,My queen.,disgust
Season 1,My queen.,disgust
Season 1,Take me to your crypt. I want to pay my respects.,sadness
Season 1,"We've been riding for a month, my love. Surely the dead can wait.",neutral
Season 1,Ned.,neutral
Season 1,Where is our brother? Go find the little beast.,neutral
Season 1,Tell me about Jon Arryn.,neutral
Season 1,"One minute he was fine, and then … Burned right through him, whatever it was. I loved that man.",disgust
Season 1,We both did.,neutral
Season 1,"He never had to teach you much, but me … You remember me at 16? All I wanted to do was crack skulls and fuck girls. He showed me what was what.",disgust
Season 1,Aye.,neutral
Season 1,"Don't look at me like that. Not his fault I didn't listen. I need you, Ned. Down at Kings Landing. Not up here, where you're no damn use to anybody. Lord Eddard Stark, I would name you the Hand of the king.",anger
Season 1,I'm not worthy of the honor.,sadness
Season 1,"I'm not trying to honor you. I'm trying to get you to run my kingdom while I eat, drink, and whore my way to an early grave. Damn it, Ned, stand up. You helped me win the Iron Throne, now help me keep the damn thing. We were meant to rule together. If your sister had lived, we would have been bound by blood. Well, it's not too late. I have a son, you have a daughter. We'll join our Houses.",anger
Season 1,Mmh. It is true what they say about the Northern girls.,disgust
Season 1,Did you hear the king's in Winterfell?,surprise
Season 1,I did hear something about that.,neutral
Season 1,And the queen. And her twin brother. They say that he is the most handsome man in the Seven Kingdoms.,neutral
Season 1,And the other brother?,surprise
Season 1,The queen has two brothers?,neutral
Season 1,There's the pretty one. And there's the clever one.,neutral
Season 1,I hear they call him the Imp.,neutral
Season 1,I hear he hates that nickname.,disgust
Season 1,Oh? I hear he's more than earned it. I hear he's a drunken little lecher into all manner of perversions.,disgust
Season 1,Clever girl.,neutral
Season 1,"We've been expecting you, Lord Tyrion.",neutral
Season 1,Have you?,neutral
Season 1,The gods gave me one blessing.,joy
Season 1,Don't get up.,anger
Season 1,M'lord.,neutral
Season 1,"Should I explain to you the meaning of a closed door in a whorehouse, brother?",disgust
Season 1,"You've much to teach me, no doubt. But our sister craves your attention.",neutral
Season 1,"She has odd cravings, our sister.",neutral
Season 1,"A family trait. Now, the Starks are feasting us at sundown. Don't leave me alone with these people.",disgust
Season 1,"I'm sorry, I've begun the feast a bit early. And this is the first of many courses.",sadness
Season 1,"I thought you might say that. But since we're short on time, Come on, girls. See you at sundown.",neutral
Season 1,Close the door!,anger
Season 1,Did you have to bury her in a place like this? She should be on a hill somewhere with the sun and the clouds above her.,disgust
Season 1,She was my sister. This is where she belongs.,neutral
Season 1,She belonged with me.,neutral
Season 1,"In my dreams, I kill him every night.",fear
Season 1,"It's done, Your Grace. The Targaryens are gone.",neutral
Season 1,Not all of them.,neutral
Season 1,Daenerys!,surprise
Season 1,Daenerys! There's our bride to be! Look – a gift from Illyrio. Touch it. Come on. Feel the fabric. Mmmm. Isn't he a gracious host?,surprise
Season 1,We've been his guests for over a year and he's never asked us for anything.,neutral
Season 1,"Illyrio is no fool. He knows I won't forget my friends when I come into my throne. You still slouch. Let me see. You have a woman's body now. I need you to be perfect today. Can you do that for me? You don't want to wake the dragon, do you?",anger
Season 1,No.,neutral
Season 1,"When they write the history of my reign, sweet sister, they will say it began today.",neutral
Season 1,"It's too hot, my lady.",sadness
Season 1,Where is he?,neutral
Season 1,The Dothraki are not known for their punctuality.,neutral
Season 1,"May I present my honored guests? Viserys of House Targaryen, the third of his name. The rightful King of the Andals and the First Men. And his sister, Daenerys, of the House Targaryen.",joy
Season 1,"Do you see how long his hair is? When Dothraki are defeated in combat, they cut off their braid so the whole world can see their shame. Khal Drogo has never been defeated. He's a savage, of course, but he's one of the finest killers alive. And you will be his queen.",disgust
Season 1,"Come forward, my dear.",neutral
Season 1,Where's he going?,neutral
Season 1,The ceremony is over.,joy
Season 1,But he didn't say anything. Did he like her?,disgust
Season 1,"Trust me, Your Grace. If he didn't like her, we'd know.",fear
Season 1,It won't be long now. Soon you will cross the Narrow Sea and take back your father's throne. The people drink secret toasts to your health. They cry out for their true king.,anger
Season 1,When will they be married?,neutral
Season 1,Soon. The Dothraki never stay still for long.,neutral
Season 1,Is it true they lie with their horses?,disgust
Season 1,I wouldn't ask Khal Drogo.,neutral
Season 1,Do you take me for a fool?,anger
Season 1,I take you for a king. Kings lack the caution of common men. My apologies if I've given offense.,anger
Season 1,I know how to play a man like Drogo. I give him a queen and he gives me an army.,neutral
Season 1,I don't want to be his queen. I want to go home.,sadness
Season 1,"So do I. I want us both to go home. But they took it from us. So tell me, sweet sister, how do we go home?",sadness
Season 1,I don't know.,surprise
Season 1,"We go home with an army. With Khal Drogo's army. I would let his whole tribe fuck you, all 40,000 men and their horses too, if that's what it took.",anger
Season 1,Do you think Joffrey will like me? What if he thinks I'm ugly?,disgust
Season 1,Then he is the stupidest prince that ever lived.,disgust
Season 1,He's so handsome.,neutral
Season 1,When would we be married? Soon or do we have to wait?,neutral
Season 1,Hush now. Your father hasn't even said yes.,disgust
Season 1,Why would he say no? He'd be the second most powerful man in the kingdoms.,anger
Season 1,He'd have to leave home. He'd have to leave me. And so would you.,neutral
Season 1,You left your home to come here. And I'd be queen someday. Please make father say yes.,neutral
Season 1,Sansa…,neutral
Season 1,"Please, please. It's the only thing I ever wanted.",sadness
Season 1,Is he dead yet?,neutral
Season 1,Uncle Benjen!,anger
Season 1,You got bigger. I rode all day. Didn't want to leave you alone with the Lannisters. Why aren't you at the feast?,surprise
Season 1,Lady Stark thought it might insult the royal family to seat a bastard in their midst.,anger
Season 1,"Well, you're always welcome on the wall. No bastard was ever refused a seat there.",anger
Season 1,So take me with you when you go back.,neutral
Season 1,Jon…,neutral
Season 1,"Father will let me if you ask him, I know he will.",neutral
Season 1,The Wall isn't going anywhere.,neutral
Season 1,I'm ready to swear your oath.,neutral
Season 1,You don't understand what you'd be giving up. We have no families. None of us will ever father sons.,surprise
Season 1,I don't care about that.,disgust
Season 1,"You might, if you knew what it meant. … I'd better get inside. Rescue your father from his guests. We'll talk later.",neutral
Season 1,Your uncle's in the Night's Watch.,neutral
Season 1,What're you doing back there?,surprise
Season 1,Preparing for a night with your family. I've always wanted to see the Wall.,fear
Season 1,You're Tyrion Lannister. The queen's brother?,surprise
Season 1,"My greatest accomplishment. You – you're Ned Stark's bastard, aren't you?",disgust
Season 1,"Did I offend you? Sorry. You are the bastard, though.",anger
Season 1,Lord Eddard Stark is my father.,neutral
Season 1,"And Lady Stark is not your mother. Making you a bastard. Let me give you some advice, bastard. Never forget what you are. The rest of the world will not. Wear it like armor. Then it can never be used to hurt you.",anger
Season 1,What the hell do you know about being a bastard?,anger
Season 1,All dwarves are bastards in their fathers' eyes.,disgust
Season 1,You at a feast -- It's like a bear in a trap.,disgust
Season 1,The boy I beheaded. Did you know him?,disgust
Season 1,"Of course I did. Just a lad. But he was tough, Ned. A true Ranger.",neutral
Season 1,He was talking madness. Said the Walkers slaughtered his friends.,disgust
Season 1,The two he was with are still missing.,sadness
Season 1,A wildling ambush.,fear
Season 1,Maybe. Direwolves south of the wall. Talk of the Walkers. My brother might be the next Hand to the king. Winter is coming.,neutral
Season 1,Winter is coming.,neutral
Season 1,Uncle Benjen.,disgust
Season 1,Robb boy. How are ye?,surprise
Season 1,I'm good.,joy
Season 1,"Is this your first time in the North, Your Grace?",neutral
Season 1,Yes. Lovely country.,joy
Season 1,"I'm sure it's very grim, after Kings Landing. I remember how scared I was when Ned brought me up here for the first time.",fear
Season 1,"Hello, little dove. But you are a beauty. How old are you?",neutral
Season 1,"Thirteen, Your Grace.",neutral
Season 1,You're tall. Still growing?,surprise
Season 1,"I think so, Your Grace.",neutral
Season 1,And have you bled yet?,neutral
Season 1,"No, Your Grace.",neutral
Season 1,And your dress. Did you make it?,surprise
Season 1,Such talent. You must make something for me.,neutral
Season 1,I hear we might share a grandchild someday.,joy
Season 1,I hear the same.,neutral
Season 1,Your daughter will do well in the capital. Such a beauty shouldn't stay hidden up here forever.,neutral
Season 1,Your pardon.,neutral
Season 1,I hear we might be neighbors soon. I hope it's true.,neutral
Season 1,"Yes, the king has honored me with his offer.",joy
Season 1,"I'm sure we'll have a tournament to celebrate the new title, if you accept. It would be good to have you in the field. The competition has become a bit stale.",joy
Season 1,I don't fight in tournaments.,neutral
Season 1,No? Getting a little old for it?,surprise
Season 1,"I don't fight in tournaments because when I fight a man for real, I don't want him to know what I can do.",neutral
Season 1,Well said.,neutral
Season 1,Arya!,surprise
Season 1,Time for bed.,neutral
Season 1,"I'm a Northman. I belong here with you, not down south in that rat's nest they call a capital.",neutral
Season 1,I won't let him take you.,anger
Season 1,The king takes what he wants. That's why he's king.,neutral
Season 1,"I'll say, ‘Listen, fat man, you are not taking my husband anywhere. He belongs to me now.'",anger
Season 1,How did he get so fat?,surprise
Season 1,He only stops eating when it's time for a drink.,neutral
Season 1,"It's Maester Luwin, my lord.",neutral
Season 1,Send him in.,neutral
Season 1,"Pardon, my lord, my lady. A rider in the night from your sister.",disgust
Season 1,Stay.,neutral
Season 1,This was sent from the Eyrie. What's she doing at the Eyrie? She hasn't been back there since her wedding.,surprise
Season 1,What news?,surprise
Season 1,She's fled the capital. She says Jon Arryn was murdered. By the Lannisters. She says the king is in danger.,fear
Season 1,"She's fresh widowed, Cat. She doesn't know what she's saying.",neutral
Season 1,"Lysa's head would be on a spike right now if the wrong people had found that letter. Do you think she would risk her life, her son's life, if she wasn't certain her husband was murdered?",anger
Season 1,"If this news is true, and the Lannisters conspire against the throne, who but you can protect the king?",neutral
Season 1,They murdered the last Hand. Now you want Ned to take the job.,anger
Season 1,"The king rode for a month to ask Lord Stark's help. He's the only one he trusts. You swore the king an oath, my lord.",neutral
Season 1,He spent half his life fighting Robert's wars. He owes him nothing. Your father and brother rode south once on a king's demand.,neutral
Season 1,A different time. Different king.,neutral
Season 1,When do I meet with the Khal? We need to begin planning the invasion.,fear
Season 1,"If Khal Drogo has promised you a crown, you shall have it.",neutral
Season 1,When?,surprise
Season 1,When their omens favor war.,disgust
Season 1,I piss on Dothraki omens. I waited 17 years to get my throne back.,neutral
Season 1,A Dothraki wedding without at least three deaths is considered a dull affair.,sadness
Season 1,A small gift for the new Khaleesi. Songs and histories from the Seven Kingdoms.,joy
Season 1,"Thank you, ser. Are you from my country?",neutral
Season 1,"Ser Jorah Mormont of Bear Island. I served your father for many years. Gods be good, I hope to always serve the rightful king.",neutral
Season 1,"Dragons' eggs, Daenerys. From the Shadow Lands beyond Asshai. The ages have turned them to stone, but they will always be beautiful.",neutral
Season 1,"Thank you, Magister.",neutral
Season 1,"She's beautiful. … Ser Jorah, I don't know how to say ‘thank you' in Dothraki.",neutral
Season 1,There is no word for ‘thank you' in Dothraki.,neutral
Season 1,Make him happy.,joy
Season 1,No.,neutral
Season 1,Do you know the Common Tongue?,neutral
Season 1,Is ‘no' the only word that you know?,neutral
Season 1,"Rough night, Imp?",neutral
Season 1,"If I get through this without squirting from one end or the other, it will be a miracle.",neutral
Season 1,I didn't pick you for a hunter.,neutral
Season 1,The greatest in the land. My spear never misses.,neutral
Season 1,It's not hunting if you pay for it.,neutral
Season 1,Are you as good with a spear as you used to be?,neutral
Season 1,"No, but I'm still better than you.",neutral
Season 1,I know what I'm putting you through. Thank you for saying yes. I only ask you because I need you. You're a loyal friend. You hear me? A loyal friend. The last one I've got.,joy
Season 1,I hope I'll serve you well.,neutral
Season 1,"You will. And I'll make sure you don't look so fucking grim all the time. Come on, boys, let's go kill some boar!",sadness
Season 1,"Come on, you.",anger
Season 1,Stop. STOP.,anger
Season 1,Are you completely mad?,anger
Season 1,He saw us.,neutral
Season 1,It's all right. It's all right.,neutral
Season 1,He saw us!,surprise
Season 1,"I heard you the first time. Quite the little climber, aren't you? How old are you, boy?",surprise
Season 1,Ten,neutral
Season 1,Ten.,neutral
Season 1,The things I do for love.,joy
Season 1,"You need to drink, child... And eat.",neutral
Season 1,Isn't there anything else?,neutral
Season 1,The Dothraki have two things in abundance,neutral
Season 1,Khaleesi!,surprise
Season 1,Your hands.,anger
Season 1,"We're still not far from Pentos, your Grace. Magister Illyrio has extended his hospitality. You'd be more comfortable there.",neutral
Season 1,I have no interest in hospitality or comfort. I'll stay with Drogo until he fulfils his end of the bargain and I have my crown.,neutral
Season 1,"As you wish, your Grace.",sadness
Season 1,"Well, Mormont, as brutish as this life is, I suppose it is preferable to beheading. What did Ned Stark want you for? Buying from a slaver?",disgust
Season 1,Selling to one... Some poachers I caught on my land.,disgust
Season 1,"Under my reign, you won't be punished for such nonsense. You can rest assured of that.",neutral
Season 1,"Better-looking bitches than you're used to, Uncle. My mother's been looking for you. We ride for King's Landing today.",neutral
Season 1,"Before you go, you will call on Lord and Lady Stark and offer your sympathies.",neutral
Season 1,What good will my sympathies do them?,anger
Season 1,None. But it is expected of you. Your absence has already been noted.,neutral
Season 1,The boy means nothing to me. And I can't stand the wailing of women.,sadness
Season 1,One word and I'll hit you again.,neutral
Season 1,I'm telling mother!,anger
Season 1,"Go! Tell her. But first you will get to Lord and Lady Stark and you will fall on your knees in front of them and tell them how very sorry you are, that you are at their service, and that all your prayers are with them. Do you understand?",sadness
Season 1,You can't...,neutral
Season 1,Do you understand?,surprise
Season 1,"The Prince will remember that, little lord.",neutral
Season 1,"I hope so. If he forgets, be a good dog and remind him. Time for breakfast...",neutral
Season 1,"Bread. And two of those little fish. And a mug of dark beer to wash it down. And bacon, burnt black.",disgust
Season 1,Little brother.,neutral
Season 1,Beloved siblings.,joy
Season 1,Is Bran going to die?,surprise
Season 1,Apparently not.,neutral
Season 1,What do you mean?,surprise
Season 1,The Maester says the boy may live.,neutral
Season 1,"It's no mercy, letting a child linger in such pain.",disgust
Season 1,Only the gods know for certain. All the rest of us can do is pray. The charms of the north seem entirely lost on you.,neutral
Season 1,I still can't believe you're going. It's ridiculous even for you.,surprise
Season 1,"Where's your sense of wonder? The greatest structure ever built, the intrepid men of the Night's Watch, the wintry abode of the White Walkers.",surprise
Season 1,Tell me you're not thinking of taking the black.,neutral
Season 1,And go celibate? The whores would go begging from Dorne to Casterly Rock. I just want to stand on top of the Wall and piss off the edge of the world.,disgust
Season 1,The children don't need to hear your filth. Come.,disgust
Season 1,"Even if the boy lives, he'll be a cripple, a grotesque. Give me a good clean death any day.",disgust
Season 1,"Speaking for the grotesques, I'd have to disagree. Death is so final, whereas life... Life is full of possibilities. I hope the boy does wake. I'd be very interested to hear what he has to say.",neutral
Season 1,"My dear brother, there are times you make me wonder whose side you're on.",surprise
Season 1,"My dear brother, you wound me. You know how much I love my family.",anger
Season 1,Please.,neutral
Season 1,"I would have dressed, your Grace.",neutral
Season 1,"This is your home. I'm your guest. Handsome one, isn't he? I lost my first boy, a little black-haired beauty. He was a fighter too... Tried to beat the fever that took him. Forgive me. It's the last thing you need to hear right now.",sadness
Season 1,I never knew.,surprise
Season 1,"It was years ago. Robert was crazed, beat his hands bloody on the wall, all the things men do to show you how much they care... The boy looked just like him. Such a little thing... A bird without feathers. They came to take his body away and Robert held me. I screamed and I battled, but he held me. That little bundle. They took him away and I never saw him again. Never have visited the crypt, never. I pray to the Mother every morning and night that she return your child to you.",anger
Season 1,I am grateful..,joy
Season 1,Perhaps this time she'll listen.,neutral
Season 1,A sword for the wall?,surprise
Season 1,I already have one.,neutral
Season 1,Good man. Have you swung it yet?,neutral
Season 1,Of course I have.,neutral
Season 1,"At someone, I mean. It's a strange thing, the first time you cut a man. You realize we're nothing but sacks of meat and blood and some bone to keep it all standing. Let me thank you ahead of time for guarding us all from the perils beyond the Wall... Wildlings and White Walkers and whatnot. We're grateful to have good, strong men like you protecting us.",disgust
Season 1,We've guarded the Kingdoms for 8 000 years.,neutral
Season 1,"Is it ""we"" already? Have you taken your vows then?",surprise
Season 1,Soon enough.,neutral
Season 1,"Give my regards to the Night's Watch. I'm sure it will be thrilling to serve in such an elite force. And if not, It's only for life.",joy
Season 1,"Thank you, Nymeria. Septa Mordane says I have to do it again. ""My things weren't properly folded"", she says. Who cares how they're folded?! They're going to get all messed up anyway.",anger
Season 1,It's good you've got help.,joy
Season 1,"Watch. Nymeria, gloves.",neutral
Season 1,Impressive.,disgust
Season 1,"Shut up. Nymeria, gloves!",anger
Season 1,I have something for you. And it has to be packed very carefully.,neutral
Season 1,A present?,surprise
Season 1,Close the door. This is no toy. Be careful you don't cut yourself.,neutral
Season 1,It's so skinny.,disgust
Season 1,"So are you. I had the blacksmith make it for you special. It won't hack a man's head off, but it can poke him full of holes if you're quick enough.",neutral
Season 1,I can be quick.,neutral
Season 1,You'll have to work at it every day. How does it feel? Do you like the balance?,neutral
Season 1,I think so.,neutral
Season 1,First lesson,fear
Season 1,I know which end to use.,neutral
Season 1,"I'm going to miss you... Careful... All the best swords have names, you know.",neutral
Season 1,Sansa can keep her sewing needles. I've got a needle of my own.,neutral
Season 1,I came to say goodbye to Bran.,sadness
Season 1,You've said it.,neutral
Season 1,"I wish I could be here when you wake up. I'm going north with Uncle Benjen. I'm taking the black. I know we always talked about seeing the Wall together, but you'll be able to come visit me at Castle Black when you're better. I'll know my way around by then. I'll be a sworn brother of the Night's Watch. We can go out walking beyond the Wall, if you're not afraid.",fear
Season 1,I want you to leave.,sadness
Season 1,17 years ago you rode off with Robert Baratheon. You came back a year later with another woman's son. And now you're leaving again.,neutral
Season 1,I have no choice.,sadness
Season 1,"That's what men always say when honor calls. That's what you tell your families, tell yourselves. You do have a choice. And you've made it. I can't do it, Ned. I really can't.",neutral
Season 1,You can. You must.,neutral
Season 1,You've said goodbye to Bran? He's not going to die. I know it.,neutral
Season 1,You Starks are hard to kill.,neutral
Season 1,My mother?,surprise
Season 1,She was very kind.,disgust
Season 1,"Good. Next time I see you, you'll be all in black.",neutral
Season 1,It was always my color.,neutral
Season 1,"Farewell, Snow.",neutral
Season 1,"And you, Stark.",neutral
Season 1,"There's great honor serving in the Night's Watch. The Starks have manned the Wall for thousands of years. And you are a Stark. You might not have my name, but you have my blood.",neutral
Season 1,"Is my mother alive? Does she know about me? Where I am, where I'm going? Does she care?",anger
Season 1,"The next time we see each other, we'll talk about your mother. I promise.",neutral
Season 1,"Gods, this is country! I've half a mind to leave them all behind and keep going.",disgust
Season 1,I've half a mind to go with you.,neutral
Season 1,"What do you say, just you and me on the Kingsroad, swords at our sides, a couple of tavern wenches to warm our beds tonight.",neutral
Season 1,You should have asked me 20 years ago.,neutral
Season 1,"There were wars to fight, women to marry... We never had the chance to be young.",neutral
Season 1,I recall a few chances.,neutral
Season 1,"There was that one... Oh, what was her name? That common girl of yours? Becca? With the great big tits you could bury your face in.",surprise
Season 1,Bessie. She was one of yours.,neutral
Season 1,Bessie! Thank the gods for Bessie and her tits. Yours was... Aleena? No. You told me once. Meryl? Your bastardo s mother?,surprise
Season 1,Wylla.,neutral
Season 1,That's it. She must have been a rare wench to make Lord Eddard Stark forget his honor. You never told me what she looked like.,disgust
Season 1,Nor will I.,neutral
Season 1,"We were at war. None of us knew if we were gonna go back home again. You're too hard on yourself. You always have been. I swear if I weren't your King, you'd have hit me already.",anger
Season 1,The worst thing about your coronation... I'll never get to hit you again.,disgust
Season 1,"Trust me, that's not the worst thing. There was a rider in the night.",disgust
Season 1,Daenerys Targaryen has wed some Dothraki horselord. What of it? Should we send her a wedding gift?,neutral
Season 1,"A knife perhaps, a good sharp one, and a bold man to wield it.",neutral
Season 1,She's little more than a child.,neutral
Season 1,Soon enough that child will spread her legs and start breeding.,neutral
Season 1,Tell me we're not speaking of this.,neutral
Season 1,"Oh, it's unspeakable to you? What her father did to your family... That was unspeakable. What Rhaegar Targaryen did to your sister... the woman I loved. I'll kill every Targaryen I get my hands on.",fear
Season 1,"But you can't get your hands on this one, can you?",disgust
Season 1,"This Khal Drogo, it's said he has 100,000 men in his horde.",neutral
Season 1,"Even a million Dothraki are no threat to the realm, as long as they remain on the other side of the Narrow Sea. They have no ships, Robert.",neutral
Season 1,"There are still those in the Seven Kingdoms who call me Usurper. If the Targaryen boy crosses with a Dothraki horde at his back, the scum will join him.",neutral
Season 1,"He will not cross. And if by chance he does, we'll throw him back into the sea.",neutral
Season 1,"There's a war coming, Ned. I don't know when, I don't know who we'll be fighting, but it's coming.",neutral
Season 1,Sit. You'll be fed. Untie them.,neutral
Season 1,Rapers. They were given a choice no doubt... Castration or the Wall. Most choose the knife. Not impressed by your new brothers? Lovely thing about the Watch... You discard your old family and get a whole new one.,neutral
Season 1,Why do you read so much?,surprise
Season 1,Look at me and tell me what you see.,anger
Season 1,Is this a trick?,surprise
Season 1,"What you see is a dwarf. If I'd been born a peasant they might've left me out in the woods to die. Alas, I was born a Lannister of Casterly Rock. Things are expected of me. My father was the Hand of the King for 20 years.",sadness
Season 1,Until your brother killed that King.,anger
